Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,1.00,0.0004,42530.12,8760000.00,3483.41,8756516.59,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,2.00,0.0005,37436.67,8760000.00,3957.75,8756042.25,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,3.00,0.0005,33433.46,8760000.00,4432.09,8755567.91,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,4.00,0.0006,30204.29,8760000.00,4906.43,8755093.57,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,5.00,0.0006,27544.45,8760000.00,5380.77,8754619.23,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,6.00,0.0007,25315.57,8760000.00,5855.11,8754144.89,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,7.00,0.0007,23420.73,8760000.00,6329.46,8753670.54,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,8.00,0.0008,21790.13,8760000.00,6803.80,8753196.20,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,9.00,0.0008,20372.08,8760000.00,7278.14,8752721.86,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,10.00,0.0009,19127.55,8760000.00,7752.48,8752247.52,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,11.00,0.0009,18026.54,8760000.00,8226.82,8751773.18,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,12.00,0.0010,17045.56,8760000.00,8701.16,8751298.84,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,13.00,0.0010,16166.00,8760000.00,9175.51,8750824.49,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,14.00,0.0011,15372.93,8760000.00,9649.85,8750350.15,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,2.00,0.00,15.00,0.0012,14654.16,8760000.00,10124.19,8749875.81,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,1.00,0.0006,44550.90,8760000.00,4987.94,8755012.06,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,2.00,0.0006,40684.90,8760000.00,5462.28,8754537.72,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,3.00,0.0007,37436.70,8760000.00,5936.62,8754063.38,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,4.00,0.0007,34669.16,8760000.00,6410.96,8753589.04,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,5.00,0.0008,32282.89,8760000.00,6885.31,8753114.69,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,6.00,0.0008,30204.26,8760000.00,7359.65,8752640.35,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,7.00,0.0009,28377.36,8760000.00,7833.99,8752166.01,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,8.00,0.0009,26759.05,8760000.00,8308.33,8751691.67,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,3.00,0.00,9.00,0.0010,25315.56,8760000.00,8782.67,8751217.33,0.00
